,pid,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,subjectivity_high,subjectivity_low,subjectivity_medium,polarity_Negative,polarity_Neutral,polarity_Positive
0,0.0,24.709677419354843,34.84561049445005,40.616,23.81818181818182,45.656199216136116,36.0,28.3942049832238,4.36852801204819,0.03510296296296257,32.51154823365931,33.423,27.146630472250944,41.59999999999999,13.0,39.0,0.0,3.0,37.0,12.0
1,1.0,17.27956989247312,19.377295660948533,27.141000000000002,15.818181818181822,32.24339610617213,21.0,19.782934045573615,6.35227454819277,8.733356286286288,24.314745269454903,18.589999999999996,21.00352464667356,29.400000000000006,3.0,36.0,0.0,4.0,35.0,0.0
2,2.0,14.81720430107527,43.33804238143289,44.349000000000004,29.090909090909093,56.2081700283593,33.0,34.23624241209353,17.291576305220882,0.04086084084084068,39.41386090438553,36.165000000000006,31.601788176490864,51.199999999999996,18.0,46.0,0.0,6.0,43.0,15.0
3,3.0,27.4516129032258,65.40665993945507,78.23360000000001,58.45454545454546,101.13814804193353,90.0,61.610891730463216,34.60121546184739,25.623249439439444,79.63164318612561,56.85849999999999,68.16184505342984,99.60000000000001,29.0,96.0,1.0,12.0,95.0,19.0
4,4.0,5.537634408602151,9.884964682139252,11.0571,5.181818181818182,14.183044960647484,14.0,7.668224194445294,3.0243120481927703,1.39129027027027,10.174198635374111,8.334999999999999,9.355963460875559,13.400000000000002,8.0,9.0,0.0,3.0,8.0,6.0
5,5.0,34.7741935483871,55.189707366296666,57.392999999999994,33.36363636363636,68.97497052544372,59.0,40.35789739874339,9.311694779116463,0.049819979979979195,51.54878404825156,45.403,41.9314331265081,63.39999999999999,16.0,64.0,0.0,5.0,62.0,13.0
6,6.0,6.182795698924731,8.157416750756811,12.445,6.2727272727272725,13.607159927349201,13.0,7.426451310976916,1.0276021084337343,1.0482646646646645,10.645493948138295,8.093,8.492855911754567,13.0,7.0,9.0,0.0,2.0,8.0,6.0
7,7.0,13.58064516129032,34.60847628657922,30.541,23.272727272727273,44.0665487684415,18.0,26.704487318710243,16.96352008032128,4.043709749749749,30.82911655796239,23.626299999999997,27.663288521199586,41.59999999999999,6.0,47.0,0.0,1.0,47.0,5.0
8,8.0,21.02150537634409,23.787083753784056,31.545000000000005,23.09090909090909,39.28751234744926,33.0,21.487141656756492,8.266883634538148,2.6330055855855856,29.115468342945473,24.798999999999996,25.87237159600138,36.59999999999999,10.0,36.0,0.0,3.0,36.0,7.0
9,9.0,9.333333333333336,12.98082744702321,13.285,10.818181818181818,17.24981677978523,16.0,9.487920125978125,6.796285140562249,0.06788541541541512,13.069024858670394,13.033000000000003,11.068411754567391,16.400000000000002,6.0,15.0,0.0,0.0,16.0,5.0
